Application: Tecan i-control;;;;Tecan i-control , 1.10.4.0;;;;;;;
Device: infinite 200Pro;;;;Serial number: 1308001874;;;;Serial number of connected stacker:;;;
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;;;;
;;;;;;;;;;;
Date:;23/10/2013;;;;;;;;;;
Time:;10:25:49;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
System;;;;TECAN-PC;;;;;;;
User;;;;tecan-PC\tecan;;;;;;;
Plate;;;;Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx];;;;;;;
Plate-ID (Stacker);;;;;;;;;;;
;;;;;;;;;;;
List of actions in this measurement script:;;;;;;;;;;;
Kinetic;;;;;;;;;;;
Absorbance;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Label: abso;;;;;;;;;;;
Kinetic Measurement;;;;;;;;;;;
Kinetic Cycles;;;;5;;;;;;;
Interval Time;;;;Minimal;;;;;;;
Mode;;;;Absorbance;;;;;;;
Wavelength;;;;600;nm;;;;;;
Bandwidth;;;;10;nm;;;;;;
Number of Flashes;;;;20;;;;;;;
Settle Time;;;;0;ms;;;;;;
Start Time:;23/10/2013 10:25:50;;;;;;;;;;
Time [ms];39504;103530;167561;231593;295622;;;;;;
F9;0,045400001;0,0458;0,046100002;0,046100002;0,046100002;;;;;;
Time [ms];38895;102921;166952;230984;295013;;;;;;
F10;0,0451;0,045699999;0,045899998;0,0458;0,0458;;;;;;
Time [ms];38286;102312;166343;230375;294403;;;;;;
F11;0,0449;0,045400001;0,045400001;0,045499999;0,045200001;;;;;;
Time [ms];37677;101703;165734;229766;293794;;;;;;
F12;0,045600001;0,046;0,046100002;0,045899998;0,046;;;;;;
Time [ms];37068;101094;165125;229157;293185;;;;;;
G1;0,045699999;0,046100002;0,046399999;0,046300001;0,0462;;;;;;
Time [ms];44481;108508;172540;236570;300599;;;;;;
G2;0,046599999;0,0471;0,047200002;0,0471;0,047400001;;;;;;
Time [ms];45090;109117;173149;237179;301208;;;;;;
G3;0,045000002;0,045200001;0,045400001;0,045499999;0,045400001;;;;;;
Time [ms];45699;109726;173758;237788;301817;;;;;;
G4;0,0451;0,045699999;0,0458;0,0458;0,045699999;;;;;;
Time [ms];46308;110335;174367;238397;302426;;;;;;
G5;0,046399999;0,046599999;0,046799999;0,046700001;0,046799999;;;;;;
Time [ms];46917;110944;174976;239006;303035;;;;;;
G6;0,046300001;0,046799999;0,0469;0,046999998;0,046999998;;;;;;
Time [ms];47526;111553;175585;239615;303644;;;;;;
G7;0,046399999;0,046799999;0,0469;0,046700001;0,0469;;;;;;
Time [ms];48135;112162;176194;240224;304253;;;;;;
G8;0,0458;0,0462;0,046399999;0,0462;0,046500001;;;;;;
Time [ms];48744;112771;176803;240833;304862;;;;;;
G9;0,046399999;0,0469;0,046999998;0,046999998;0,0471;;;;;;
Time [ms];49353;113380;177412;241442;305471;;;;;;
G10;0,0482;0,048599999;0,048700001;0,048799999;0,048700001;;;;;;
Time [ms];49962;113989;178021;242051;306080;;;;;;
G11;0,045899998;0,0462;0,046500001;0,046599999;0,046399999;;;;;;
Time [ms];50572;114598;178630;242660;306689;;;;;;
G12;0,048;0,048599999;0,048500001;0,048599999;0,048599999;;;;;;
Time [ms];51180;115207;179239;243269;307298;;;;;;
H1;0,048700001;0,048999999;0,0493;0,049199998;0,049199998;;;;;;
Time [ms];58593;122620;186652;250683;314712;;;;;;
H2;0,046300001;0,046599999;0,046799999;0,046599999;0,046700001;;;;;;
Time [ms];57984;122011;186044;250074;314103;;;;;;
H3;0,045400001;0,045600001;0,045899998;0,045899998;0,046;;;;;;
Time [ms];57375;121402;185434;249465;313494;;;;;;
H4;0,046399999;0,046799999;0,046799999;0,0469;0,0469;;;;;;
Time [ms];56766;120793;184825;248856;312885;;;;;;
