Application: Tecan i-control;;;;Tecan i-control , 1.10.4.0;;;;;;;
Device: infinite 200Pro;;;;Serial number: 1308001874;;;;Serial number of connected stacker:;;;
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;;;;
;;;;;;;;;;;
Date:;23/10/2013;;;;;;;;;;
Time:;09:58:26;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
System;;;;TECAN-PC;;;;;;;
User;;;;tecan-PC\tecan;;;;;;;
Plate;;;;Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx];;;;;;;
Plate-ID (Stacker);;;;;;;;;;;
;;;;;;;;;;;
List of actions in this measurement script:;;;;;;;;;;;
Kinetic;;;;;;;;;;;
Absorbance;;;;;;;;;;;
Fluorescence;;;;;;;;;;;
;;;;;;;;;;;
2 Labels;;;;;;;;;;;
Kinetic Measurement;;;;;;;;;;;
Kinetic Cycles;;;;5;;;;;;;
Interval Time;;;;Minimal;;;;;;;
Mode;;;;Absorbance;;;;;;;
H9;0,047499999;0,047800001;0,0482;0,047899999;0,048;;;;;;
Time [ms];53724;160160;264834;369762;474563;;;;;;
H10;0,048;0,048500001;0,048500001;0,048300002;0,0484;;;;;;
Time [ms];53115;159551;264225;369153;473954;;;;;;
H11;0,046700001;0,046999998;0,047400001;0,0471;0,047400001;;;;;;
Time [ms];52506;158942;263616;368544;473345;;;;;;
H12;0,048300002;0,048500001;0,048700001;0,048799999;0,048700001;;;;;;
Time [ms];51896;158333;263007;367935;472736;;;;;;
;;;;;;;;;;;
Label2;;;;;;;;;;;
Cycle Nr.;1;2;3;4;5;;;;;;
Temp. [°C];23,4;23,2;23,8;23,7;23,9;;;;;;
A1;21749;21469;21259;21414;21309;;;;;;
Time [ms];0;104800;209601;314414;419197;;;;;;
A2;19846;19678;19723;19552;19485;;;;;;
Time [ms];356;105156;209957;314770;419553;;;;;;
A3;20614;20352;20193;20127;20258;;;;;;
Time [ms];712;105512;210312;315126;419909;;;;;;
A4;17778;17606;17810;17627;17472;;;;;;
Time [ms];1068;105868;210668;315482;420265;;;;;;
A5;18161;18025;18019;17964;17686;;;;;;
Time [ms];1423;106224;211024;315838;420620;;;;;;
A6;17186;17041;16969;16876;16865;;;;;;
Time [ms];1779;106580;211380;316194;420976;;;;;;
A7;18333;18345;18241;18027;18077;;;;;;
Time [ms];2135;106936;211736;316550;421332;;;;;;
A8;17449;17164;17214;17221;16970;;;;;;
Time [ms];2491;107291;212092;316906;421688;;;;;;
A9;19535;19187;19130;19295;18934;;;;;;
Time [ms];2847;107647;212448;317261;422044;;;;;;
A10;24257;24319;23966;23987;23962;;;;;;
Time [ms];3203;108003;212804;317617;422400;;;;;;
A11;18427;18319;18127;18045;18141;;;;;;
Time [ms];3559;108359;213160;317973;422756;;;;;;
