
Assay:, Absorbance_abso, Description:
Software:, Tecan, Instrument Serial:, 
Plate Seq#1 Comment:, Acquired: Monday, January 01, 2000 00:00 AM Temperature Min/Max: 0.0/0.0°C
Well Number, Time, Absorbance , Sample Type, Flags
58, 00:00:35, 0.0455, UNK58,
58, 00:02:21, 0.0456, UNK58,
58, 00:04:06, 0.0458, UNK58,
58, 00:05:51, 0.0458, UNK58,
58, 00:07:35, 0.0458, UNK58,
59, 00:00:35, 0.0449, UNK59,
59, 00:02:22, 0.0453, UNK59,
59, 00:04:06, 0.0455, UNK59,
59, 00:05:51, 0.0454, UNK59,
59, 00:07:36, 0.0455, UNK59,
60, 00:00:36, 0.0451, UNK60,
60, 00:02:22, 0.0455, UNK60,
60, 00:04:07, 0.0457, UNK60,
60, 00:05:52, 0.0458, UNK60,
60, 00:07:37, 0.0457, UNK60,
61, 00:00:43, 0.0467, UNK61,
61, 00:02:30, 0.0468, UNK61,
61, 00:04:14, 0.0472, UNK61,
61, 00:05:59, 0.047, UNK61,
61, 00:07:44, 0.0472, UNK61,
62, 00:00:43, 0.0451, UNK62,
62, 00:02:29, 0.0454, UNK62,
62, 00:04:14, 0.0458, UNK62,
62, 00:05:59, 0.0456, UNK62,
62, 00:07:43, 0.0458, UNK62,
63, 00:00:42, 0.0465, UNK63,
63, 00:02:28, 0.0468, UNK63,
63, 00:04:13, 0.047, UNK63,
63, 00:05:58, 0.047, UNK63,
63, 00:07:43, 0.0473, UNK63,
64, 00:00:41, 0.0445, UNK64,
64, 00:02:28, 0.0447, UNK64,
64, 00:04:13, 0.045, UNK64,
64, 00:05:57, 0.045, UNK64,
64, 00:07:42, 0.0454, UNK64,
65, 00:00:41, 0.0448, UNK65,
65, 00:02:27, 0.0451, UNK65,
65, 00:04:12, 0.0454, UNK65,
65, 00:05:57, 0.0453, UNK65,
65, 00:07:42, 0.0453, UNK65,
66, 00:00:40, 0.0447, UNK66,
66, 00:02:27, 0.0449, UNK66,
66, 00:04:11, 0.0452, UNK66,
66, 00:05:56, 0.0451, UNK66,
66, 00:07:41, 0.0452, UNK66,
67, 00:00:40, 0.0452, UNK67,
67, 00:02:26, 0.0454, UNK67,
67, 00:04:11, 0.0454, UNK67,
67, 00:05:56, 0.0455, UNK67,
67, 00:07:40, 0.0457, UNK67,
68, 00:00:39, 0.0461, UNK68,
68, 00:02:25, 0.0467, UNK68,
68, 00:04:10, 0.0467, UNK68,
68, 00:05:55, 0.0467, UNK68,
68, 00:07:40, 0.0469, UNK68,
69, 00:00:38, 0.0453, UNK69,
69, 00:02:25, 0.0456, UNK69,
69, 00:04:10, 0.0459, UNK69,
69, 00:05:54, 0.0459, UNK69,
69, 00:07:39, 0.046, UNK69,
70, 00:00:38, 0.0452, UNK70,
70, 00:02:24, 0.0456, UNK70,
70, 00:04:09, 0.0457, UNK70,
70, 00:05:54, 0.0456, UNK70,
70, 00:07:39, 0.0457, UNK70,
71, 00:00:37, 0.0448, UNK71,
71, 00:02:24, 0.0451, UNK71,
71, 00:04:08, 0.0453, UNK71,
71, 00:05:53, 0.0454, UNK71,
71, 00:07:38, 0.0455, UNK71,
72, 00:00:37, 0.0453, UNK72,
72, 00:02:23, 0.0455, UNK72,
72, 00:04:08, 0.0458, UNK72,
72, 00:05:53, 0.0457, UNK72,
72, 00:07:37, 0.046, UNK72,
73, 00:00:44, 0.0455, UNK73,
73, 00:02:30, 0.0459, UNK73,
73, 00:04:15, 0.0461, UNK73,
73, 00:06:00, 0.0461, UNK73,
73, 00:07:45, 0.046, UNK73,
74, 00:00:45, 0.0463, UNK74,
74, 00:02:31, 0.0468, UNK74,
74, 00:04:16, 0.047, UNK74,
74, 00:06:01, 0.0471, UNK74,
74, 00:07:45, 0.0471, UNK74,
75, 00:00:45, 0.0449, UNK75,
75, 00:02:32, 0.045, UNK75,
75, 00:04:16, 0.0454, UNK75,
75, 00:06:01, 0.0452, UNK75,
75, 00:07:46, 0.0453, UNK75,
76, 00:00:46, 0.0451, UNK76,
76, 00:02:32, 0.0451, UNK76,
76, 00:04:17, 0.0455, UNK76,
76, 00:06:02, 0.0455, UNK76,
76, 00:07:47, 0.0456, UNK76,
77, 00:00:46, 0.0462, UNK77,
77, 00:02:33, 0.0464, UNK77,
77, 00:04:18, 0.0467, UNK77,
77, 00:06:02, 0.0467, UNK77,
77, 00:07:47, 0.0467, UNK77,
78, 00:00:47, 0.0463, UNK78,
78, 00:02:33, 0.0464, UNK78,
78, 00:04:18, 0.0468, UNK78,
78, 00:06:03, 0.0467, UNK78,
78, 00:07:48, 0.0468, UNK78,
79, 00:00:48, 0.0463, UNK79,
79, 00:02:34, 0.0465, UNK79,
79, 00:04:19, 0.0467, UNK79,
79, 00:06:04, 0.0466, UNK79,
79, 00:07:48, 0.0469, UNK79,
80, 00:00:48, 0.0457, UNK80,
80, 00:02:35, 0.046, UNK80,
80, 00:04:19, 0.0463, UNK80,
80, 00:06:04, 0.0459, UNK80,
80, 00:07:49, 0.0463, UNK80,
81, 00:00:49, 0.0464, UNK81,
81, 00:02:35, 0.0468, UNK81,
81, 00:04:20, 0.0469, UNK81,
81, 00:06:05, 0.0469, UNK81,
81, 00:07:50, 0.0468, UNK81,
82, 00:00:49, 0.0481, UNK82,
82, 00:02:36, 0.0483, UNK82,
82, 00:04:21, 0.0487, UNK82,
82, 00:06:06, 0.0486, UNK82,
82, 00:07:50, 0.0485, UNK82,
83, 00:00:50, 0.0458, UNK83,
83, 00:02:37, 0.0458, UNK83,
83, 00:04:21, 0.0462, UNK83,
83, 00:06:06, 0.0461, UNK83,
83, 00:07:51, 0.0463, UNK83,
84, 00:00:51, 0.0479, UNK84,
84, 00:02:37, 0.0481, UNK84,
84, 00:04:22, 0.0482, UNK84,
84, 00:06:07, 0.0484, UNK84,
84, 00:07:52, 0.0486, UNK84,
85, 00:00:58, 0.0486, UNK85,
85, 00:02:45, 0.0489, UNK85,
85, 00:04:29, 0.049, UNK85,
85, 00:06:14, 0.0489, UNK85,
85, 00:07:59, 0.0491, UNK85,
86, 00:00:57, 0.0459, UNK86,
86, 00:02:44, 0.0463, UNK86,
86, 00:04:29, 0.0466, UNK86,
86, 00:06:14, 0.0464, UNK86,
86, 00:07:58, 0.0465, UNK86,
87, 00:00:57, 0.0456, UNK87,
87, 00:02:43, 0.0452, UNK87,
87, 00:04:28, 0.0458, UNK87,
87, 00:06:13, 0.0457, UNK87,
87, 00:07:58, 0.0458, UNK87,
88, 00:00:56, 0.0461, UNK88,
88, 00:02:43, 0.0464, UNK88,
88, 00:04:27, 0.0467, UNK88,
88, 00:06:12, 0.0467, UNK88,
88, 00:07:57, 0.0468, UNK88,
89, 00:00:56, 0.0486, UNK89,
89, 00:02:42, 0.0486, UNK89,
89, 00:04:27, 0.0493, UNK89,
89, 00:06:12, 0.049, UNK89,
89, 00:07:57, 0.049, UNK89,
90, 00:00:55, 0.0464, UNK90,
90, 00:02:41, 0.0466, UNK90,
90, 00:04:26, 0.0467, UNK90,
90, 00:06:11, 0.0469, UNK90,
90, 00:07:56, 0.047, UNK90,
91, 00:00:54, 0.0484, UNK91,
91, 00:02:41, 0.0486, UNK91,
91, 00:04:26, 0.0488, UNK91,
91, 00:06:10, 0.0489, UNK91,
91, 00:07:55, 0.0489, UNK91,
92, 00:00:54, 0.0505, UNK92,
92, 00:02:40, 0.0507, UNK92,
92, 00:04:25, 0.0511, UNK92,
92, 00:06:10, 0.051, UNK92,
92, 00:07:55, 0.0511, UNK92,
93, 00:00:53, 0.0475, UNK93,
93, 00:02:40, 0.0478, UNK93,
93, 00:04:24, 0.0482, UNK93,
93, 00:06:09, 0.0479, UNK93,
93, 00:07:54, 0.048, UNK93,
94, 00:00:53, 0.048, UNK94,
94, 00:02:39, 0.0485, UNK94,
94, 00:04:24, 0.0485, UNK94,
94, 00:06:09, 0.0483, UNK94,
94, 00:07:53, 0.0484, UNK94,
95, 00:00:52, 0.0467, UNK95,
95, 00:02:38, 0.047, UNK95,
95, 00:04:23, 0.0474, UNK95,
95, 00:06:08, 0.0471, UNK95,
95, 00:07:53, 0.0474, UNK95,
96, 00:00:51, 0.0483, UNK96,
96, 00:02:38, 0.0485, UNK96,
96, 00:04:23, 0.0487, UNK96,
96, 00:06:07, 0.0488, UNK96,
96, 00:07:52, 0.0487, UNK96,
96, 00:00:51, 0.0483, UNK96,
96, 00:02:38, 0.0485, UNK96,
96, 00:04:23, 0.0487, UNK96,
96, 00:06:07, 0.0488, UNK96,
96, 00:07:52, 0.0487, UNK96,

Assay:, Fluorescence_Label2, Description:
Software:, Tecan, Instrument Serial:, 
Plate Seq#1 Comment:, Acquired: Monday, January 01, 2000 00:00 AM Temperature Min/Max: 0.0/0.0°C
Well Number, Time, RFU , Sample Type, Flags
1, 00:00:00, 21749, UNK1,
1, 00:01:44, 21469, UNK1,
1, 00:03:29, 21259, UNK1,
1, 00:05:14, 21414, UNK1,
1, 00:06:59, 21309, UNK1,
2, 00:00:00, 19846, UNK2,
2, 00:01:45, 19678, UNK2,
2, 00:03:29, 19723, UNK2,
2, 00:05:14, 19552, UNK2,
2, 00:06:59, 19485, UNK2,
3, 00:00:00, 20614, UNK3,
3, 00:01:45, 20352, UNK3,
3, 00:03:30, 20193, UNK3,
3, 00:05:15, 20127, UNK3,
3, 00:06:59, 20258, UNK3,
4, 00:00:01, 17778, UNK4,
4, 00:01:45, 17606, UNK4,
4, 00:03:30, 17810, UNK4,
4, 00:05:15, 17627, UNK4,
4, 00:07:00, 17472, UNK4,
5, 00:00:01, 18161, UNK5,
5, 00:01:46, 18025, UNK5,
5, 00:03:31, 18019, UNK5,
5, 00:05:15, 17964, UNK5,
5, 00:07:00, 17686, UNK5,
6, 00:00:01, 17186, UNK6,
6, 00:01:46, 17041, UNK6,
6, 00:03:31, 16969, UNK6,
6, 00:05:16, 16876, UNK6,
6, 00:07:00, 16865, UNK6,
7, 00:00:02, 18333, UNK7,
7, 00:01:46, 18345, UNK7,
7, 00:03:31, 18241, UNK7,
7, 00:05:16, 18027, UNK7,
7, 00:07:01, 18077, UNK7,
8, 00:00:02, 17449, UNK8,
8, 00:01:47, 17164, UNK8,
8, 00:03:32, 17214, UNK8,
8, 00:05:16, 17221, UNK8,
8, 00:07:01, 16970, UNK8,
9, 00:00:02, 19535, UNK9,
9, 00:01:47, 19187, UNK9,
9, 00:03:32, 19130, UNK9,
9, 00:05:17, 19295, UNK9,
9, 00:07:02, 18934, UNK9,
10, 00:00:03, 24257, UNK10,
10, 00:01:48, 24319, UNK10,
10, 00:03:32, 23966, UNK10,
10, 00:05:17, 23987, UNK10,
10, 00:07:02, 23962, UNK10,
11, 00:00:03, 18427, UNK11,
11, 00:01:48, 18319, UNK11,
11, 00:03:33, 18127, UNK11,
11, 00:05:17, 18045, UNK11,
11, 00:07:02, 18141, UNK11,
12, 00:00:03, 20926, UNK12,
12, 00:01:48, 20928, UNK12,
12, 00:03:33, 20576, UNK12,
12, 00:05:18, 20589, UNK12,
12, 00:07:03, 20605, UNK12,
13, 00:00:08, 22021, UNK13,
13, 00:01:53, 21834, UNK13,
13, 00:03:37, 21695, UNK13,
13, 00:05:22, 21547, UNK13,
13, 00:07:07, 21431, UNK13,
14, 00:00:07, 18020, UNK14,
14, 00:01:52, 17804, UNK14,
14, 00:03:37, 17637, UNK14,
14, 00:05:22, 17524, UNK14,
14, 00:07:07, 17534, UNK14,
15, 00:00:07, 18577, UNK15,
15, 00:01:52, 18335, UNK15,
15, 00:03:37, 18368, UNK15,
15, 00:05:22, 18237, UNK15,
15, 00:07:06, 18303, UNK15,
16, 00:00:07, 18089, UNK16,
16, 00:01:52, 17931, UNK16,
16, 00:03:36, 17764, UNK16,
16, 00:05:21, 17825, UNK16,
16, 00:07:06, 17645, UNK16,
17, 00:00:06, 18165, UNK17,
17, 00:01:51, 18003, UNK17,
17, 00:03:36, 17894, UNK17,
17, 00:05:21, 17803, UNK17,
17, 00:07:06, 17606, UNK17,
18, 00:00:06, 18064, UNK18,
18, 00:01:51, 17854, UNK18,
18, 00:03:36, 17750, UNK18,
18, 00:05:20, 17897, UNK18,
18, 00:07:05, 17865, UNK18,
19, 00:00:06, 17979, UNK19,
19, 00:01:50, 17851, UNK19,
19, 00:03:35, 17879, UNK19,
19, 00:05:20, 17874, UNK19,
19, 00:07:05, 17806, UNK19,
20, 00:00:05, 19388, UNK20,
20, 00:01:50, 19248, UNK20,
20, 00:03:35, 19074, UNK20,
20, 00:05:20, 19000, UNK20,
20, 00:07:05, 18975, UNK20,
21, 00:00:05, 18851, UNK21,
21, 00:01:50, 18625, UNK21,
21, 00:03:35, 18500, UNK21,
21, 00:05:19, 18486, UNK21,
21, 00:07:04, 18323, UNK21,
22, 00:00:05, 19331, UNK22,
22, 00:01:49, 19065, UNK22,
22, 00:03:34, 18965, UNK22,
22, 00:05:19, 19002, UNK22,
22, 00:07:04, 18892, UNK22,
23, 00:00:04, 18604, UNK23,
23, 00:01:49, 18314, UNK23,
23, 00:03:34, 18286, UNK23,
23, 00:05:19, 18258, UNK23,
23, 00:07:03, 18180, UNK23,
24, 00:00:04, 19043, UNK24,
24, 00:01:49, 18687, UNK24,
24, 00:03:34, 18705, UNK24,
24, 00:05:18, 18676, UNK24,
24, 00:07:03, 18493, UNK24,
25, 00:00:08, 17762, UNK25,
25, 00:01:53, 17508, UNK25,
25, 00:03:38, 17550, UNK25,
25, 00:05:23, 17459, UNK25,
25, 00:07:07, 17360, UNK25,
26, 00:00:09, 18414, UNK26,
26, 00:01:53, 18180, UNK26,
26, 00:03:38, 18027, UNK26,
26, 00:05:23, 17892, UNK26,
26, 00:07:08, 18058, UNK26,
27, 00:00:09, 17588, UNK27,
27, 00:01:54, 17435, UNK27,
27, 00:03:39, 17276, UNK27,
27, 00:05:23, 17353, UNK27,
27, 00:07:08, 17221, UNK27,
28, 00:00:09, 18654, UNK28,
28, 00:01:54, 18497, UNK28,
28, 00:03:39, 18467, UNK28,
28, 00:05:24, 18366, UNK28,
28, 00:07:09, 18251, UNK28,
29, 00:00:10, 19330, UNK29,
29, 00:01:55, 19173, UNK29,
29, 00:03:39, 19152, UNK29,
29, 00:05:24, 18888, UNK29,
29, 00:07:09, 18953, UNK29,
30, 00:00:10, 17068, UNK30,
30, 00:01:55, 16988, UNK30,
30, 00:03:40, 16908, UNK30,
30, 00:05:24, 16809, UNK30,
30, 00:07:09, 16872, UNK30,
31, 00:00:10, 18698, UNK31,
31, 00:01:55, 18585, UNK31,
31, 00:03:40, 18362, UNK31,
31, 00:05:25, 18393, UNK31,
31, 00:07:10, 18407, UNK31,
32, 00:00:11, 18526, UNK32,
32, 00:01:56, 18467, UNK32,
32, 00:03:40, 18375, UNK32,
32, 00:05:25, 18257, UNK32,
32, 00:07:10, 18064, UNK32,
33, 00:00:11, 19407, UNK33,
33, 00:01:56, 19093, UNK33,
33, 00:03:41, 19174, UNK33,
33, 00:05:26, 18941, UNK33,
33, 00:07:10, 18844, UNK33,
34, 00:00:11, 18227, UNK34,
34, 00:01:56, 18199, UNK34,
34, 00:03:41, 18013, UNK34,
34, 00:05:26, 18053, UNK34,
34, 00:07:11, 17975, UNK34,
35, 00:00:12, 18694, UNK35,
35, 00:01:57, 18533, UNK35,
35, 00:03:41, 18412, UNK35,
35, 00:05:26, 18501, UNK35,
35, 00:07:11, 18382, UNK35,
36, 00:00:12, 19569, UNK36,
36, 00:01:57, 19408, UNK36,
